name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Delhi Medical Hospital,"9B, Balai Dutta St, Kolkata G P O, Kolkata 700001",,090079 03746,0,0.0,25.5568386,77.4182812
BLK-Max Super Speciality Hospital Delhi,"Pusa Rd, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi, 110005",blkmaxhospital.com,011 3040 3040,0,0.0,28.6433034,67.9511895
Park Hospital,"Bus Depot, Meera Enclave Outer Ring Road Near Kashopur, New Chaukhandi, Vishnu Garden, New Delhi, Delhi 110018",parkhospital.in,011 4532 3232,0,0.0,28.6433034,67.9511895
Manipal Hospital Dwarka,"Manipal Hospital, Sector 6 Dwarka, Dwarka, Delhi, 110075",manipalhospitals.com,011 4967 4967,0,0.0,28.6433034,67.9511895
"CK Birla Hospital, Delhi","CK Birla Hospital, 57/41, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026",ckbhospital.com,092891 29487,0,0.0,28.6433034,67.9511895
