name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Jaslok Hospital & Research Centre,"15, Pedder Rd, IT Colony, Tardeo, Mumbai, Maharashtra 400026",jaslokhospital.net,,0,0.0,18.9715715,72.6657615
Balabhai nanavati hospital,"8, Swami Vivekananda Rd, Maharashtra Housing and Area Development Authority Colony, Kumud Nagar, Goregaon West, Mumbai, Maharashtra 400104",,,0,0.0,19.0958254,72.6960938
Netaji Hospital,"Raj Deep Building, Kurla West, Mumbai, 400070",,022 2504 0526,0,0.0,19.0958254,72.6960938
Jaslok Hospital,"Jaslok hospitals & helth centers, Haji Karamat Ali Rd, Kasaiwada, Qureshi Nagar, Kurla, Mumbai, Maharashtra 400061",,,0,0.0,19.0958254,72.6960938
Gleneagles Hospital Mumbai,"35, Dr Ernest Borges Rd, opp. Shirodkar High School, Parel East, Parel, Mumbai, Maharashtra 400012",gleneagleshospitals.co.in,075488 10101,0,0.0,19.0958254,72.6960938
